hand_class,equity,combos,percentile
AA,0.8513,6,0.2262
KK,0.8243,6,0.6787
QQ,0.7977,6,1.1312
JJ,0.7742,6,1.5837
TT,0.7483,6,2.0362
99,0.7206,6,2.4887
88,0.6915,6,2.9412
AKs,0.6722,4,3.3183
AQs,0.6630,4,3.6199
77,0.6602,6,3.9970
AJs,0.6550,4,4.3741
AKo,0.6548,12,4.9774
ATs,0.6478,4,5.5807
AQo,0.6421,12,6.1840
AJo,0.6366,12,7.0890
KQs,0.6339,4,7.6923
66,0.6319,6,8.0694
A9s,0.6284,4,8.4465
ATo,0.6271,12,9.0498
KJs,0.6266,4,9.6531
KTs,0.6200,4,9.9548
A8s,0.6194,4,10.2564
KQo,0.6134,12,10.8597
A7s,0.6116,4,11.4630
KJo,0.6076,12,12.0664
A9o,0.6072,12,12.9713
QJs,0.6045,4,13.5747
55,0.6037,6,13.9517
A6s,0.6004,4,14.3288
K9s,0.6002,4,14.6305
A8o,0.6001,12,15.2338
A5s,0.5994,4,15.8371
KTo,0.5966,12,16.4404
QTs,0.5956,4,17.0437
A4s,0.5910,4,17.3454
A7o,0.5894,12,17.9487
K8s,0.5824,4,18.5520
A3s,0.5821,4,18.8537
QJo,0.5818,12,19.4570
K7s,0.5781,4,20.0603
A6o,0.5779,12,20.6637
A5o,0.5768,12,21.5686
K9o,0.5764,12,22.4736
Q9s,0.5756,4,23.0769
A2s,0.5742,4,23.3786
JTs,0.5741,4,23.6802
QTo,0.5720,12,24.2836
44,0.5704,6,24.9623
K6s,0.5678,4,25.3394
A4o,0.5676,12,25.9427
K8o,0.5608,12,26.8477
Q8s,0.5589,4,27.4510
K5s,0.5585,4,27.7526
A3o,0.5578,12,28.3560
J9s,0.5541,4,28.9593
JTo,0.5522,12,29.5626
K7o,0.5509,12,30.4676
Q9o,0.5507,12,31.3725
K4s,0.5501,4,31.9759
A2o,0.5486,12,32.5792
Q7s,0.5436,4,33.1825
K6o,0.5421,12,33.7858
K3s,0.5420,4,34.3891
T9s,0.5405,4,34.6908
J8s,0.5386,4,34.9925
Q6s,0.5373,4,35.2941
Q8o,0.5361,12,35.8974
33,0.5359,6,36.5762
K5o,0.5347,12,37.2549
K2s,0.5326,4,37.8582
J9o,0.5316,12,38.4615
Q5s,0.5274,4,39.0649
J7s,0.5240,4,39.3665
T8s,0.5232,4,39.6682
K4o,0.5230,12,40.2715
Q4s,0.5182,4,40.8748
Q7o,0.5159,12,41.4781
J8o,0.5158,12,42.3831
T9o,0.5144,12,43.2881
Q3s,0.5122,4,43.8914
K3o,0.5112,12,44.4947
T7s,0.5101,4,45.0980
Q6o,0.5074,12,45.7014
J6s,0.5066,4,46.3047
98s,0.5065,4,46.6063
22,0.5033,6,46.9834
K2o,0.5032,12,47.6621
Q2s,0.5026,4,48.2655
Q5o,0.5003,12,48.8688
J5s,0.4982,4,49.4721
T8o,0.4958,12,50.0754
J7o,0.4947,12,50.9804
Q4o,0.4909,12,51.8854
J4s,0.4901,4,52.4887
97s,0.4900,4,52.7903
T6s,0.4895,4,53.0920
J3s,0.4825,4,53.3937
Q3o,0.4795,12,53.9970
98o,0.4790,12,54.9020
J6o,0.4782,12,55.8069
87s,0.4776,4,56.4103
T7o,0.4771,12,57.0136
96s,0.4748,4,57.6169
J2s,0.4733,4,57.9186
T5s,0.4722,4,58.2202
J5o,0.4711,12,58.8235
Q2o,0.4702,12,59.7285
T4s,0.4675,4,60.3318
86s,0.4628,4,60.6335
J4o,0.4613,12,61.2368
T3s,0.4596,4,61.8401
97o,0.4589,12,62.4434
T6o,0.4586,12,63.3484
95s,0.4577,4,63.9517
76s,0.4524,4,64.2534
J3o,0.4521,12,64.8567
87o,0.4498,12,65.7617
T2s,0.4494,4,66.3650
96o,0.4432,12,66.9683
85s,0.4427,4,67.5716
T5o,0.4415,12,68.1750
J2o,0.4413,12,69.0799
94s,0.4370,4,69.6833
75s,0.4355,4,69.9849
T4o,0.4348,12,70.5882
65s,0.4326,4,71.1916
93s,0.4321,4,71.4932
86o,0.4309,12,72.0965
84s,0.4269,4,72.6998
95o,0.4253,12,73.3032
T3o,0.4246,12,74.2081
92s,0.4237,4,74.8115
74s,0.4204,4,75.1131
76o,0.4187,12,75.7164
54s,0.4173,4,76.3198
T2o,0.4137,12,76.9231
64s,0.4133,4,77.5264
85o,0.4129,12,78.1297
83s,0.4073,4,78.7330
94o,0.4048,12,79.3363
73s,0.4027,4,79.9397
75o,0.4021,12,80.5430
82s,0.4005,4,81.1463
65o,0.3993,12,81.7496
93o,0.3982,12,82.6546
53s,0.3969,4,83.2579
63s,0.3961,4,83.5596
84o,0.3948,12,84.1629
43s,0.3898,4,84.7662
92o,0.3870,12,85.3695
74o,0.3844,12,86.2745
54o,0.3831,12,87.1795
72s,0.3824,4,87.7828
64o,0.3823,12,88.3861
52s,0.3793,4,88.9894
62s,0.3749,4,89.2911
83o,0.3744,12,89.8944
42s,0.3672,4,90.4977
82o,0.3657,12,91.1011
73o,0.3624,12,92.0060
53o,0.3624,12,92.9110
32s,0.3602,4,93.5143
63o,0.3590,12,94.1176
43o,0.3507,12,95.0226
52o,0.3420,12,95.9276
72o,0.3409,12,96.8326
62o,0.3392,12,97.7376
42o,0.3306,12,98.6425
32o,0.3207,12,99.5475
