hand_class,equity,combos,percentile
AA,0.4922,6,0.2262
KK,0.4315,6,0.6787
QQ,0.3828,6,1.1312
JJ,0.3373,6,1.5837
AKs,0.3114,4,1.9608
TT,0.2991,6,2.3379
AQs,0.2923,4,2.7149
KQs,0.2872,4,3.0166
AKo,0.2811,12,3.6199
AJs,0.2780,4,4.2232
KJs,0.2718,4,4.5249
ATs,0.2678,4,4.8265
99,0.2662,6,5.2036
QJs,0.2637,4,5.5807
AQo,0.2614,12,6.1840
KTs,0.2610,4,6.7873
QTs,0.2519,4,7.0890
KQo,0.2518,12,7.6923
JTs,0.2482,4,8.2956
AJo,0.2461,12,8.8989
A9s,0.2421,4,9.5023
KJo,0.2378,12,10.1056
88,0.2375,6,10.7843
ATo,0.2350,12,11.4630
A8s,0.2338,4,12.0664
K9s,0.2324,4,12.3680
QJo,0.2303,12,12.9713
KTo,0.2253,12,13.8763
Q9s,0.2252,4,14.4796
T9s,0.2251,4,14.7813
J9s,0.2246,4,15.0830
A5s,0.2234,4,15.3846
A7s,0.2216,4,15.6863
QTo,0.2185,12,16.2896
77,0.2182,6,16.9683
JTo,0.2176,12,17.6471
A4s,0.2171,4,18.2504
K8s,0.2162,4,18.5520
A6s,0.2158,4,18.8537
A3s,0.2129,4,19.1554
T8s,0.2096,4,19.4570
Q8s,0.2080,4,19.7587
J8s,0.2072,4,20.0603
K7s,0.2048,4,20.3620
A2s,0.2045,4,20.6637
A9o,0.2039,12,21.2670
K6s,0.2014,4,21.8703
98s,0.2013,4,22.1719
66,0.1989,6,22.5490
K5s,0.1979,4,22.9261
A8o,0.1945,12,23.5294
K9o,0.1943,12,24.4344
K4s,0.1916,4,25.0377
Q7s,0.1906,4,25.3394
87s,0.1902,4,25.6410
J9o,0.1899,12,26.2443
K3s,0.1896,4,26.8477
T9o,0.1885,12,27.4510
J7s,0.1877,4,28.0543
Q9o,0.1876,12,28.6576
55,0.1866,6,29.3363
97s,0.1865,4,29.7134
A7o,0.1848,12,30.3167
Q6s,0.1846,4,30.9201
T7s,0.1845,4,31.2217
K2s,0.1843,4,31.5234
A5o,0.1831,12,32.1267
Q5s,0.1804,4,32.7300
A4o,0.1777,12,33.3333
Q4s,0.1774,4,33.9367
K8o,0.1767,12,34.5400
86s,0.1755,4,35.1433
76s,0.1752,4,35.4449
A6o,0.1746,12,36.0483
Q3s,0.1741,4,36.6516
96s,0.1741,4,36.9532
44,0.1739,6,37.3303
J6s,0.1730,4,37.7074
T6s,0.1713,4,38.0090
A3o,0.1711,12,38.6124
65s,0.1699,4,39.2157
T8o,0.1698,12,39.8190
J5s,0.1693,4,40.4223
J8o,0.1686,12,41.0256
K7o,0.1678,12,41.9306
Q2s,0.1675,4,42.5339
Q8o,0.1662,12,43.1373
98o,0.1661,12,44.0422
54s,0.1653,4,44.6456
J4s,0.1642,4,44.9472
J3s,0.1637,4,45.2489
75s,0.1636,4,45.5505
A2o,0.1630,12,46.1538
85s,0.1623,4,46.7572
33,0.1609,6,47.1342
K6o,0.1609,12,47.8130
64s,0.1597,4,48.4163
95s,0.1589,4,48.7179
T5s,0.1585,4,49.0196
J2s,0.1580,4,49.3213
T4s,0.1573,4,49.6229
K5o,0.1561,12,50.2262
22,0.1543,6,50.9050
53s,0.1539,4,51.2821
T3s,0.1524,4,51.5837
87o,0.1521,12,52.1870
T7o,0.1521,12,53.0920
97o,0.1517,12,53.9970
74s,0.1508,4,54.6003
J7o,0.1506,12,55.2036
K4o,0.1501,12,56.1086
84s,0.1492,4,56.7119
Q7o,0.1490,12,57.3152
43s,0.1486,4,57.9186
63s,0.1476,4,58.2202
T2s,0.1476,4,58.5219
K3o,0.1448,12,59.1252
93s,0.1446,4,59.7285
94s,0.1444,4,60.0302
Q6o,0.1431,12,60.6335
73s,0.1419,4,61.2368
76o,0.1412,12,61.8401
52s,0.1408,4,62.4434
K2o,0.1402,12,63.0468
83s,0.1401,4,63.6501
92s,0.1388,4,63.9517
86o,0.1387,12,64.5551
Q5o,0.1384,12,65.4600
42s,0.1364,4,66.0633
96o,0.1363,12,66.6667
82s,0.1349,4,67.2700
J6o,0.1335,12,67.8733
62s,0.1334,4,68.4766
T6o,0.1334,12,69.0799
Q4o,0.1316,12,69.9849
65o,0.1307,12,70.8899
32s,0.1305,4,71.4932
Q3o,0.1290,12,72.0965
75o,0.1285,12,73.0015
J5o,0.1283,12,73.9065
72s,0.1273,4,74.5098
J4o,0.1254,12,75.1131
54o,0.1251,12,76.0181
85o,0.1225,12,76.9231
Q2o,0.1224,12,77.8281
J3o,0.1201,12,78.7330
64o,0.1200,12,79.6380
95o,0.1192,12,80.5430
T5o,0.1183,12,81.4480
53o,0.1146,12,82.3529
T4o,0.1144,12,83.2579
J2o,0.1140,12,84.1629
74o,0.1127,12,85.0679
T3o,0.1106,12,85.9729
43o,0.1080,12,86.8778
84o,0.1078,12,87.7828
94o,0.1078,12,88.6878
63o,0.1056,12,89.5928
T2o,0.1048,12,90.4977
93o,0.1015,12,91.4027
73o,0.0999,12,92.3077
52o,0.0985,12,93.2127
92o,0.0975,12,94.1176
83o,0.0947,12,95.0226
42o,0.0946,12,95.9276
82o,0.0909,12,96.8326
62o,0.0881,12,97.7376
32o,0.0878,12,98.6425
72o,0.0850,12,99.5475
